first x,goalfunction,id,rel max,tabu tenure,int(time)
1,"1589,5733956",17,"0,0648145717",30,48
5,"6891,9278377",17,"0,2810171283",30,48
10,"5141,8887226",17,"0,2096595955",30,49
5,"6809,9590339",17,"0,277674865",30,49
1,"1567,4039163",17,"0,0639106151",30,49
5,"6728,429204",17,"0,2743505007",30,50
10,"5093,9914593",17,"0,2077065932",30,50
1,"1548,5196374",17,"0,063140612",30,51
1,"1548,5196374",17,"0,063140612",30,51
5,"6565,2758385",17,"0,2676979513",30,51
10,"4971,9071816",17,"0,2027286285",30,51
1,"1526,3501581",17,"0,0622366555",30,52
10,"4926,2704033",17,"0,200867797",30,52
5,"6304,0731911",17,"0,25704746",30,52
1,"1462,6194198",17,"0,059638046",30,53
5,"6207,7474774",17,"0,2531197962",30,53
10,"4673,4113629",17,"0,1905575148",30,53
10,"4673,4113629",17,"0,1905575148",30,53
1,"1462,6194198",17,"0,059638046",30,54
5,"6035,2900872",17,"0,2460878768",30,54
10,"4587,5896338",17,"0,1870581491",30,55
5,"5888,3536911",17,"0,2400965715",30,55
1,"1257,7681813",17,"0,0512852733",30,55
10,"4477,9143048",17,"0,1825861571",30,56
5,"5803,1444048",17,"0,236622178",30,56
1,"1257,7681813",17,"0,0512852733",30,57
1,"1244,1462128",17,"0,0507298399",30,57
10,"4295,2971622",17,"0,1751399757",30,57
5,"5803,1444048",17,"0,236622178",30,57
5,"5484,0550831",17,"0,2236113679",30,58
10,"4238,2330371",17,"0,1728131961",30,58
1,"1228,1761235",17,"0,0500786624",30,58
5,"5337,1186871",17,"0,2176200625",30,59
10,"4172,6963523",17,"0,1701409495",30,59
1,"1228,1761235",17,"0,0500786624",30,60
1,"1212,3013069",17,"0,0494313696",30,60
5,"5205,2278605",17,"0,2122422376",30,60
10,"4172,6963523",17,"0,1701409495",30,60
1,"24397,788598",18,1,30,0
5,"24397,788598",18,1,30,0
10,"24397,788598",18,1,30,0
5,"18629,038079",18,"0,7635543691",30,1
1,"20404,336443",18,"0,8363190935",30,1
10,"20913,035352",18,"0,8571692991",30,1
5,"17649,584088",18,"0,7234091736",30,2
10,"19574,492762",18,"0,8023060239",30,2
1,"19745,768968",18,"0,8093261768",30,2
10,"18772,569104",18,"0,7694373213",30,3
5,"16901,356516",18,"0,6927413297",30,3
1,"19292,62177",18,"0,790752887",30,3
1,"18725,670627",18,"0,7675150783",30,4
5,"15617,822852",18,"0,6401327231",30,4
10,"18020,224965",18,"0,7386007503",30,4
1,"17929,427683",18,"0,734879213",30,5
5,"14875,92271",18,"0,6097242236",30,5
10,"17442,311239",18,"0,7149136148",30,5
5,"14319,344628",18,"0,5869115789",30,6
10,"17141,916821",18,"0,7026012523",30,6
1,"17355,70242",18,"0,7113637513",30,6
10,"16880,333385",18,"0,6918796479",30,7
5,"13603,26632",18,"0,5575614472",30,7
1,"17127,424185",18,"0,7020072379",30,7
5,"13116,107126",18,"0,5375940969",30,8
10,"16458,595483",18,"0,674593741",30,8
1,"16695,801085",18,"0,6843161633",30,8
5,"12713,54544",18,"0,5210941717",30,9
1,"16176,495427",18,"0,6630312154",30,9
10,"16057,366529",18,"0,658148441",30,9
5,"12276,535783",18,"0,5031823165",30,10
1,"15832,663119",18,"0,6489384501",30,10
10,"15753,429657",18,"0,6456908828",30,10
5,"11929,631272",18,"0,4889636298",30,11
1,"15583,917824",18,"0,6387430468",30,11
10,"14898,498911",18,"0,6106495616",30,11
5,"11482,107177",18,"0,4706208159",30,12
1,"14957,391845",18,"0,6130634252",30,12
10,"14356,46316",18,"0,5884329681",30,12
5,"11194,057206",18,"0,4588144192",30,13
1,"14568,048278",18,"0,5971052753",30,13
10,"14203,556896",18,"0,5821657499",30,13
10,"13024,279688",18,"0,5338303361",30,14
5,"10858,715415",18,"0,4450696575",30,14
1,"14166,07879",18,"0,5806296228",30,14
10,"12670,890946",18,"0,5193458782",30,15
5,"10825,740453",18,"0,4437181021",30,15
