1,2,3,4,5,6
"29753,503453","26404,999415","23561,868774","21993,811033",,
"29753,503453","26404,999415","23561,868774","22158,384121",,
"37345,668693","34357,982696","33252,55375",,,
"37345,668693","34357,982696","33252,55375",,,
"37345,668693","34357,982696","33142,424392",,,
"20686,541501","19141,748715","18266,727385","17346,01562","17105,605429",
"20686,541501","19141,748715","18410,901748","17473,698753","17346,01562",
"20686,541501","19141,748715","18527,86411","17582,287688","17473,698753",
"31283,667328","28624,109635","26414,372261","26070,603142",,
"31508,289495","28704,804066","26656,293877","26246,144038",,
"31283,667328","28624,109635","26656,293877","26070,603142",,
"34975,346428","32433,692593","32010,579395",,,
"34838,978972","32269,77108","31859,564574",,,
"34975,346428","32269,77108","32010,579395",,,
"37729,755878","36129,554287","35004,445888","34869,41429",,
"37729,755878","36129,554287","35004,445888",,,
"37729,755878","36129,554287","35004,445888","34869,41429",,
"36659,739209","34428,941232","32995,599686",,,
"36659,739209","34428,941232","33136,702345",,,
"36659,739209","34428,941232","33136,702345",,,
"36172,923427","29583,248169","27862,89517",,,
"36172,923427","29819,070523","27862,89517",,,
"35812,629407","29410,679893","27747,13831",,,
"29859,47492","25724,622181","23947,008597",,,
"30112,107932","25724,622181","23947,008597",,,
"29859,47492","25724,622181","23947,008597",,,
"36036,86217","32873,697681","29144,977493",,,
"36036,86217","32873,697681","29358,597549",,,
"36036,86217","32873,697681","29144,977493",,,
"24438,592976","16524,752672","15319,034253","13398,109293",,
"24438,592976","16524,752672","15167,879331","13337,160998",,
"24438,592976","16524,752672","15319,034253","13337,160998",,
"34636,031611","31880,059041","28885,911151","27628,701562","26645,659255",
"34451,662298","31880,059041","28777,65279","27338,711487","26431,694693",
"34636,031611","31880,059041","28777,65279","27628,701562","26431,694693",
"20166,403301","14685,086108","14130,853752","9942,9828713",,
"24426,388492","19190,808398","18531,521333","18504,271961",,
"15645,735777","7698,4163479","1875,9767118",0,,
"16093,970218","5636,4389472","3627,610026","970,74051771","389,96215737",
"23423,283657","22533,205747","19160,29937","17692,754894",,
"14515,010691","6018,9591243","1524,1859319","662,62854258",,
"13181,69543","5727,0827868","2970,0954092",,,
"14014,18257","8663,4741027","7819,4741978",,,
"13946,718193","3052,1315477",0,,,
"20817,14074","15091,025178","11746,730872","10223,698618",,
"16137,205258","11303,088554","9362,1540167","4341,1223396","3418,343592",
"28570,693395","23369,831605","20200,168481","17145,390354","16864,765285",
"27777,9734","23003,299355","19127,157641","14685,8536","10180,707778",
